id,name,image_path,label,elo_rating,games_played,wins,losses
1fa71460-f748-4b1d-8adc-e1a195df0ac2,"Celebrity 367","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763994751387_366.jpg",10,1368.75,12,11,1
b11aa218-714a-447e-b6f2-b4e73b5f1841,"Celebrity 386","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763994762821_385.jpg",9.31,1357.59,11,10,1
e3c41891-5282-4051-9f7d-3ded257afb63,"Celebrity 277","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763994692930_276.jpg",8.77,1348.98,8,8,0
90843977-9e78-4445-a523-681301757aec,"Celebrity 247","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763994679046_246.jpg",8.73,1348.3,8,8,0
57d910f9-7ccc-4626-9491-67e5662cdc91,"Celebrity 133","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763994617712_132.jpg",8.64,1346.94,10,9,1
fe2241c9-6a0b-4d7d-bb59-e6e8a4c0f245,"Celebrity 8204","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763995255127_8203.jpg",7.97,1336.15,10,9,1
5d35f329-549b-45df-b549-0192d1c33c9b,"Celebrity 447","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763994797861_446.jpg",7.86,1334.27,8,8,0
ae229d53-6d21-4d45-9e6a-bec3404f9d52,"Celebrity 59907","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1764006114672_59906.jpg",7.5,1328.57,7,7,0
344fb547-8a8f-4768-9f45-9832b00a1d73,"Celebrity 64","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763995017541_63.jpg",7.27,1324.77,7,7,0
abf2b21a-0c5b-4036-b3b8-d9cd36251242,"Celebrity 6200","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763995221185_6199.jpg",7.26,1324.76,7,7,0
fc8afe8a-5185-4641-b895-897655ed9e5a,"Celebrity 159","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763994632887_158.jpg",7.18,1323.37,6,6,0
53c4d40f-9391-4b6f-89aa-c4d1b3ab3790,"Celebrity 5705","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763995208709_5704.jpg",7.13,1322.65,7,7,0
88f66bc8-82b3-49b5-bc7f-1423e434a22a,"Celebrity 595","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763994868900_594.jpg",7.05,1321.35,9,8,1
3a629cdd-6d7c-46a8-9a2d-7e2ad5d3917d,"Celebrity 4586","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763995167580_4585.jpg",7.02,1320.77,7,7,0
fac9b447-7940-449f-bcb8-3dda9810448d,"Celebrity 167","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763994637987_166.jpg",6.94,1319.58,8,7,1
5927e332-58d1-4393-a86c-a75bb7b070e0,"Celebrity 98","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763994599553_97.jpg",6.93,1319.45,9,7,2
aa3e7fbc-eedc-4def-857a-6ba79817ade7,"Celebrity 136","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763995020425_135.jpg",6.8,1317.34,6,6,0
a44ec468-fee2-4425-ba12-21444759df30,"Celebrity 1740","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763995053998_1739.jpg",6.75,1316.49,6,6,0
5d54e016-9b04-4d32-b13a-0390c3b49a37,"Celebrity 8190","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763995254091_8189.jpg",6.73,1316.13,6,6,0
d78a70d8-9c4e-4504-9f8e-c0112b911583,"Celebrity 4649","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763995169012_4648.jpg",6.71,1315.83,6,6,0
f4999213-8ac5-40ac-9968-396ff72c7a6c,"Celebrity 7917","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763995252263_7916.jpg",6.67,1315.26,6,6,0
5b04a543-666f-41fd-ad27-ade1558cb1fe,"Celebrity 128","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763994615069_127.jpg",6.66,1315,6,6,0
f292bbe7-081c-4663-a8c5-a5f43a3110ad,"Celebrity 1642","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763995052124_1641.jpg",6.65,1314.95,9,8,1
c3857d52-372c-4103-8c40-ce72fef8d9e0,"Celebrity 168","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763994638566_167.jpg",6.64,1314.67,6,6,0
aec9877e-d623-435b-8b03-a405cb785511,"Celebrity 491","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763994819629_490.jpg",6.61,1314.3,10,9,1
765a7b1f-dd0e-4b56-b12e-94ba402a3cbf,"Celebrity 28320","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1764005687275_28319.jpg",6.6,1314.14,6,6,0
92078fd6-2fab-42bb-8603-1a08d104fe3e,"Celebrity 214","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763995023902_213.jpg",6.58,1313.75,6,6,0
0aa4aa21-a42d-4f52-b172-86d78c99c8ad,"Celebrity 2010","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763995120398_2009.jpg",6.56,1313.44,6,6,0
709b5e01-f1c7-4b55-b587-5fab3e174f0e,"Celebrity 166","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763995020428_165.jpg",6.55,1313.31,9,8,1
de11073b-95b8-400b-8d95-efb043d4f721,"Celebrity 574","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763994859166_573.jpg",6.53,1312.9,8,7,1
41a1d184-6f72-4867-bc8c-48b437e3f1a9,"Celebrity 162","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763995020428_161.jpg",6.49,1312.37,9,8,1
f1956cf7-fd25-428c-bc04-5306c03e0bf7,"Celebrity 471","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763994809960_470.jpg",6.44,1311.49,5,5,0
1849f908-1789-4e54-ad85-ae42ce8c7b14,"Celebrity 7210","https://dpgobgukqaiougupymtu.supabase.co/storage/v1/object/public/celebrity-images/1763995241800_7209.jpg",6.41,1310.94,6,6,0
